Sketch,Type,x,y,z
0,XY,-0.05958614423079065,0.2651160092838478,0.0
0,XY,-0.0613396940004922,0.26608516198457627,0.0
0,XY,-0.06307748508754321,0.2670822958220906,0.0
0,XY,-0.06479907103881563,0.2681071546243317,0.0
0,XY,-0.06650400956441706,0.2691594750964645,0.0
0,XY,-0.06819186265131856,0.27023898688851994,0.0
0,XY,-0.06986219667588392,0.2713454126648506,0.0
0,XY,-0.07151458251527118,0.2724784681753805,0.0
0,XY,-0.07314859565767792,0.2736378623286311,0.0
0,XY,-0.074763816311402,0.2748232972665054,0.0
0,XY,-0.07635982951268928,0.27603446844081003,0.0
0,XY,-0.07793622523234169,0.27727106469149626,0.0
0,XY,-0.07949259848105689,0.2785327683265998,0.0
0,XY,-0.08102854941347352,0.2798192552038582,0.0
0,XY,-0.0825436834308949,0.2811301948139861,0.0
0,XY,-0.08403761128266457,0.2824652503655855,0.0
0,XY,-0.08550994916616826,0.2838240788716707,0.0
0,XY,-0.0869603188254358,0.28520633123778405,0.0
0,XY,-0.08838834764831843,0.28661165235168157,0.0
0,XY,-0.08838834764831843,0.28661165235168157,0.0
0,XY,-1.401776695296637,1.6,0.0
0,XY,-1.401776695296637,1.6,0.0
0,XY,-1.401776695296637,1.8399999999999999,0.0
0,XY,-1.401776695296637,1.8399999999999999,0.0
0,XY,-8.901776695296636,1.8399999999999999,0.0
0,XY,-8.901776695296636,1.8399999999999999,0.0
0,XY,-8.901776695296636,2.09,0.0
0,XY,-8.901776695296636,2.09,0.0
0,XY,-6.901776695296637,2.09,0.0
0,XY,-6.901776695296637,2.09,0.0
0,XY,-6.901776695296637,2.34,0.0
0,XY,-6.901776695296637,2.34,0.0
0,XY,-1.401776695296637,2.34,0.0
0,XY,-1.401776695296637,2.34,0.0
0,XY,-0.08838834764831843,0.7866116523516816,0.0
0,XY,-0.08838834764831843,0.7866116523516816,0.0
0,XY,-0.0869603188254358,0.7852063312377842,0.0
0,XY,-0.08550994916616826,0.7838240788716706,0.0
0,XY,-0.08403761128266457,0.7824652503655855,0.0
0,XY,-0.0825436834308949,0.7811301948139862,0.0
0,XY,-0.08102854941347352,0.7798192552038582,0.0
0,XY,-0.07949259848105689,0.7785327683265998,0.0
0,XY,-0.07793622523234169,0.7772710646914963,0.0
0,XY,-0.07635982951268928,0.77603446844081,0.0
0,XY,-0.074763816311402,0.7748232972665055,0.0
0,XY,-0.07314859565767792,0.7736378623286311,0.0
0,XY,-0.07151458251527118,0.7724784681753806,0.0
0,XY,-0.06986219667588392,0.7713454126648506,0.0
0,XY,-0.06819186265131856,0.77023898688852,0.0
0,XY,-0.06650400956441706,0.7691594750964645,0.0
0,XY,-0.06479907103881563,0.7681071546243318,0.0
0,XY,-0.06307748508754321,0.7670822958220906,0.0
0,XY,-0.0613396940004922,0.7660851619845763,0.0
0,XY,-0.05958614423079065,0.7651160092838479,0.0
0,XY,-0.05781728628010439,0.764175086703375,0.0
0,XY,-0.05603357458289961,0.7632626359740726,0.0
0,XY,-0.05423546738969476,0.7623788915121976,0.0
0,XY,-0.0524234266493321,0.761524080359126,0.0
0,XY,-0.05059791789029921,0.7606984221230234,0.0
0,XY,-0.04875941010113085,0.7599021289224265,0.0
0,XY,-0.04690837560992176,0.7591354053317474,0.0
0,XY,-0.04504528996298165,0.758398448328717,0.0
0,XY,-0.04317063180266344,0.7576914472437799,0.0
0,XY,-0.04128488274439587,0.7570145837114541,0.0
0,XY,-0.03938852725295258,0.7563680316236664,0.0
0,XY,-0.03748205251798894,0.7557519570850796,0.0
0,XY,-0.03556594832887904,0.7551665183704174,0.0
0,XY,-0.0336407069488846,0.7546118658838037,0.0
0,XY,-0.0317068229886884,0.7540881421201214,0.0
0,XY,-0.029764793279324755,0.7535954816284046,0.0
0,XY,-0.027815116744539292,0.7531340109772721,0.0
0,XY,-0.02585829427261135,0.7527038487224106,0.0
0,XY,-0.023894828587671522,0.7523051053761168,0.0
0,XY,-0.021925224120547693,0.751937883378906,0.0
0,XY,-0.019949986879172397,0.7516022770731937,0.0
0,XY,-0.017969624318585183,0.7512983726790593,0.0
0,XY,-0.015984645210563236,0.7510262482720942,0.0
0,XY,-0.013995559512913477,0.7507859737633447,0.0
0,XY,-0.012002878238460222,0.7505776108813502,0.0
0,XY,-0.01000711332376165,0.7504012131562855,0.0
0,XY,-0.008008777497589104,0.750256825906208,0.0
0,XY,-0.006008384149202594,0.750144486225415,0.0
0,XY,-0.004006447196456901,0.750064222974914,0.0
0,XY,-0.0020034809537717024,0.7500160567750086,0.0
0,XY,7.654042494670958e-18,0.75,0.0
0,XY,0.0,0.75,0.0
0,XY,0.0026999999999999997,0.75,0.0
0,XY,0.0055000000000000005,0.7501000000000001,0.0
