Sketch,Plane,x,z,y
0,XY,0.1472,0.6853,0.0
0,XY,0.1441,0.6837,0.0
0,XY,0.14100000000000001,0.6822,0.0
0,XY,0.1379,0.6807,0.0
0,XY,0.13470000000000001,0.6792,0.0
0,XY,0.1316,0.6778000000000001,0.0
0,XY,0.1284,0.6764,0.0
0,XY,0.1252,0.6751,0.0
0,XY,0.122,0.6738,0.0
0,XY,0.11869999999999999,0.6725,0.0
0,XY,0.1155,0.6712,0.0
0,XY,0.1122,0.67,0.0
0,XY,0.109,0.6688000000000001,0.0
0,XY,0.1057,0.6677,0.0
0,XY,0.10239999999999999,0.6666,0.0
0,XY,0.0991,0.6655,0.0
0,XY,0.0958,0.6644,0.0
0,XY,0.0925,0.6634,0.0
0,XY,0.0891,0.6625,0.0
0,XY,0.0858,0.6615,0.0
0,XY,0.0824,0.6606,0.0
0,XY,0.0791,0.6597999999999999,0.0
0,XY,0.0757,0.6589,0.0
0,XY,0.0723,0.6581,0.0
0,XY,0.0689,0.6574,0.0
0,XY,0.0655,0.6567,0.0
0,XY,0.0621,0.656,0.0
0,XY,0.058699999999999995,0.6553,0.0
0,XY,0.0553,0.6547,0.0
0,XY,0.0519,0.6542,0.0
0,XY,0.0484,0.6536,0.0
0,XY,0.045,0.6531,0.0
0,XY,0.0416,0.6527,0.0
0,XY,0.0381,0.6522,0.0
0,XY,0.034699999999999995,0.6518999999999999,0.0
0,XY,0.0312,0.6515,0.0
0,XY,0.027700000000000002,0.6512,0.0
0,XY,0.0243,0.6509,0.0
0,XY,0.0208,0.6507,0.0
0,XY,0.0174,0.6505000000000001,0.0
0,XY,0.0139,0.6503,0.0
0,XY,0.0104,0.6502,0.0
0,XY,0.0069,0.6501,0.0
0,XY,0.0034999999999999996,0.65,0.0
0,XY,0.0,0.65,0.0
0,XY,1.990051048614449e-17,0.65,0.0
0,XY,-0.0025783002585956167,0.6500102272874166,0.0
0,XY,-0.0051564382463125365,0.6500409085059906,0.0
0,XY,-0.007734251702484894,0.650092041724733,0.0
0,XY,-0.010311578386872002,0.6501636237254648,0.0
0,XY,-0.012888256089868988,0.6502556500030185,0.0
0,XY,-0.01546412264271624,0.6503681147655224,0.0
0,XY,-0.018039015927705557,0.6505010109347642,0.0
0,XY,-0.02061277388838344,0.6506543301466375,0.0
0,XY,-0.02318523453975048,0.6508280627516676,0.0
0,XY,-0.025756235978456204,0.6510221978156187,0.0
0,XY,-0.02832561639298885,0.6512367231201827,0.0
0,XY,-0.03089321407385938,0.6514716251637475,0.0
0,XY,-0.03345886742377868,0.6517268891622472,0.0
0,XY,-0.03602241496782857,0.6520024990500923,0.0
0,XY,-0.03858369536362417,0.6522984374811812,0.0
0,XY,-0.041142547411468486,0.6526146858299915,0.0
0,XY,-0.04369881006449782,0.6529512241927523,0.0
0,XY,-0.04625232243881762,0.6533080313886969,0.0
0,XY,-0.048802923823628115,0.6536850849613963,0.0
0,XY,-0.05135045369133873,0.6540823611801718,0.0
0,XY,-0.053894751707671586,0.6544998350415893,0.0
0,XY,-0.05643565774175234,0.6549374802710324,0.0
0,XY,-0.058973011876188315,0.655395269324356,0.0
0,XY,-0.06150665441713328,0.6558731733896203,0.0
0,XY,-0.06403642590433814,0.6563711623889039,0.0
